company,job_title,job_type,experience_level,skills,skills_list,combined_text,combined_cleaned
YouGov,graduate power bi developer,Full Time,Entry-level,"['power bi', 'finance', 'data analytics', 'excel', 'market research', 'privacy']","['power bi', 'finance', 'data analytics', 'excel', 'market research', 'privacy']","graduate power bi developer Entry-level ['power bi', 'finance', 'data analytics', 'excel', 'market research', 'privacy']",graduate power bi developer entry level power bi finance data analytics excel market research privacy
Bosch Group,sap consultant - product data management,Full Time,Senior-level,"['spark', 'r', 'data management', 'engineering']","['spark', 'r', 'data management', 'engineering']","sap consultant - product data management Senior-level ['spark', 'r', 'data management', 'engineering']",sap consultant product data management senior level spark r data management engineering
Bosch Group,premaster programm - data analytics and visualization,Full Time,Entry-level,"['llms', 'data analytics', 'bigquery', 'python', 'pandas']","['llms', 'data analytics', 'bigquery', 'python', 'pandas']","premaster programm - data analytics and visualization Entry-level ['llms', 'data analytics', 'bigquery', 'python', 'pandas']",premaster programm data analytics and visualization entry level llms data analytics bigquery python pandas
ServiceNow,staff data scientist - atg,Full Time,Senior-level,"['deep learning', 'computer science', 'industrial', 'machine learning', 'nlp', 'numpy']","['deep learning', 'computer science', 'industrial', 'machine learning', 'nlp', 'numpy']","staff data scientist - atg Senior-level ['deep learning', 'computer science', 'industrial', 'machine learning', 'nlp', 'numpy']",staff data scientist atg senior level deep learning computer science industrial machine learning nlp numpy
PlayStation Global,machine learning engineer,Full Time,Senior-level,"['github', 'gitlab', 'aws', 'cuda', 'git', 'docker']","['github', 'gitlab', 'aws', 'cuda', 'git', 'docker']","machine learning engineer Senior-level ['github', 'gitlab', 'aws', 'cuda', 'git', 'docker']",machine learning engineer senior level github gitlab aws cuda git docker
Canva,senior data analyst - sales,Full Time,Senior-level,"['finance', 'redshift', 'bigquery', 'excel', 'python', 'r']","['finance', 'redshift', 'bigquery', 'excel', 'python', 'r']","senior data analyst - sales Senior-level ['finance', 'redshift', 'bigquery', 'excel', 'python', 'r']",senior data analyst sales senior level finance redshift bigquery excel python r
Issuu,bi analyst,Full Time,No Experience,"['business analytics', 'data warehouse', 'looker', 'python', 'business intelligence', 'r']","['business analytics', 'data warehouse', 'looker', 'python', 'business intelligence', 'r']","bi analyst No Experience ['business analytics', 'data warehouse', 'looker', 'python', 'business intelligence', 'r']",bi analyst no experience business analytics data warehouse looker python business intelligence r
DeepL,"data scientist insights (f/m/d) - ger, uk, nl, pl",Full Time,Senior-level,"['agile', 'machine learning', 'data visualization', 'metabase', 'mathematics', 'economics']","['agile', 'machine learning', 'data visualization', 'metabase', 'mathematics', 'economics']","data scientist insights (f/m/d) - ger, uk, nl, pl Senior-level ['agile', 'machine learning', 'data visualization', 'metabase', 'mathematics', 'economics']",data scientist insights f m d ger uk nl pl senior level agile machine learning data visualization metabase mathematics economics
Printify,senior data analyst (remote within emea),Full Time,Senior-level,"['data analytics', 'architecture', 'data analysis', 'ecommerce', 'data visualization', 'data quality']","['data analytics', 'architecture', 'data analysis', 'ecommerce', 'data visualization', 'data quality']","senior data analyst (remote within emea) Senior-level ['data analytics', 'architecture', 'data analysis', 'ecommerce', 'data visualization', 'data quality']",senior data analyst remote within emea senior level data analytics architecture data analysis ecommerce data visualization data quality
Visa,senior data engineer (evergreen),Full Time,Senior-level,"['data governance', 'agile', 'clustering', 'data mining', 'computer science', 'airflow']","['data governance', 'agile', 'clustering', 'data mining', 'computer science', 'airflow']","senior data engineer (evergreen) Senior-level ['data governance', 'agile', 'clustering', 'data mining', 'computer science', 'airflow']",senior data engineer evergreen senior level data governance agile clustering data mining computer science airflow
Talan,data management scrum master,Full Time,Entry-level,"['agile', 'data management', 'databricks', 'big data', 'azure', 'blockchain']","['agile', 'data management', 'databricks', 'big data', 'azure', 'blockchain']","data management scrum master Entry-level ['agile', 'data management', 'databricks', 'big data', 'azure', 'blockchain']",data management scrum master entry level agile data management databricks big data azure blockchain
Bosch Group,rotational development program - artificial intelligence and machine learning trainee,Full Time,Entry-level,"['clustering', 'apis', 'architecture', 'computer science', 'azure', 'airflow']","['clustering', 'apis', 'architecture', 'computer science', 'azure', 'airflow']","rotational development program - artificial intelligence and machine learning trainee Entry-level ['clustering', 'apis', 'architecture', 'computer science', 'azure', 'airflow']",rotational development program artificial intelligence and machine learning trainee entry level clustering apis architecture computer science azure airflow
EX2 Outcoding,data engineer scientist,Full Time,Mid-level,"['sql', 'data mining', 'computer science', 'python', 'statistics', 'engineering']","['sql', 'data mining', 'computer science', 'python', 'statistics', 'engineering']","data engineer scientist Mid-level ['sql', 'data mining', 'computer science', 'python', 'statistics', 'engineering']",data engineer scientist mid level sql data mining computer science python statistics engineering
CGG,data scientist (elasticsearch),Full Time,Entry-level,"['agile', 'deep learning', 'cd', 'data visualization', 'data quality', 'ci', 'computer vision']","['agile', 'deep learning', 'cd', 'data visualization', 'data quality', 'ci', 'computer vision']","data scientist (elasticsearch) Entry-level ['agile', 'deep learning', 'cd', 'data visualization', 'data quality', 'ci', 'computer vision']",data scientist elasticsearch entry level agile deep learning cd data visualization data quality ci computer vision
RCA,data engineer f/h,Full Time,Entry-level,"['etl', 'airflow', 'architecture', 'data warehouse', 'aws', 'devops']","['etl', 'airflow', 'architecture', 'data warehouse', 'aws', 'devops']","data engineer f/h Entry-level ['etl', 'airflow', 'architecture', 'data warehouse', 'aws', 'devops']",data engineer f h entry level etl airflow architecture data warehouse aws devops
Publicis Groupe,bi developer,Full Time,Senior-level,"['etl', 'agile', 'architecture', 'data analysis', 'data visualization', 'business intelligence']","['etl', 'agile', 'architecture', 'data analysis', 'data visualization', 'business intelligence']","bi developer Senior-level ['etl', 'agile', 'architecture', 'data analysis', 'data visualization', 'business intelligence']",bi developer senior level etl agile architecture data analysis data visualization business intelligence
Block,data scientist - fraud risk,Full Time,Senior-level,"['data pipelines', 'banking', 'fraud risk', 'crypto', 'blockchain', 'engineering']","['data pipelines', 'banking', 'fraud risk', 'crypto', 'blockchain', 'engineering']","data scientist - fraud risk Senior-level ['data pipelines', 'banking', 'fraud risk', 'crypto', 'blockchain', 'engineering']",data scientist fraud risk senior level data pipelines banking fraud risk crypto blockchain engineering
QuintoAndar,quintoandar - senior data analyst,Full Time,Senior-level,"['tableau', 'clustering', 'sql', 'looker', 'python']","['tableau', 'clustering', 'sql', 'looker', 'python']","quintoandar - senior data analyst Senior-level ['tableau', 'clustering', 'sql', 'looker', 'python']",quintoandar senior data analyst senior level tableau clustering sql looker python
Neo Cybernetica,ml research engineer,Full Time,Senior-level,"['datarobot', 'machine learning', 'keras', 'python', 'cybernetics', 'engineering']","['datarobot', 'machine learning', 'keras', 'python', 'cybernetics', 'engineering']","ml research engineer Senior-level ['datarobot', 'machine learning', 'keras', 'python', 'cybernetics', 'engineering']",ml research engineer senior level datarobot machine learning keras python cybernetics engineering
Western Digital,"principal engineer, data project management",Full Time,Senior-level,"['data analytics', 'excel', 'industrial', 'statistics', 'engineering']","['data analytics', 'excel', 'industrial', 'statistics', 'engineering']","principal engineer, data project management Senior-level ['data analytics', 'excel', 'industrial', 'statistics', 'engineering']",principal engineer data project management senior level data analytics excel industrial statistics engineering
Podium,senior data engineer,Full Time,Senior-level,"['data pipelines', 'apis', 'data analysis', 'big data', 'computer science', 'data quality']","['data pipelines', 'apis', 'data analysis', 'big data', 'computer science', 'data quality']","senior data engineer Senior-level ['data pipelines', 'apis', 'data analysis', 'big data', 'computer science', 'data quality']",senior data engineer senior level data pipelines apis data analysis big data computer science data quality
Netcentric,(senior) digital analytics engineer,Full Time,Senior-level,"['b testing', 'apis', 'computer science', 'angular', 'javascript', 'a', 'engineering']","['b testing', 'apis', 'computer science', 'angular', 'javascript', 'a', 'engineering']","(senior) digital analytics engineer Senior-level ['b testing', 'apis', 'computer science', 'angular', 'javascript', 'a', 'engineering']",senior digital analytics engineer senior level b testing apis computer science angular javascript a engineering
Freeform,senior software engineer (data pipeline),Full Time,Senior-level,"['data warehousing', 'data pipelines', 'big data', 'cd', 'computer science', 'ci', 'computer vision']","['data warehousing', 'data pipelines', 'big data', 'cd', 'computer science', 'ci', 'computer vision']","senior software engineer (data pipeline) Senior-level ['data warehousing', 'data pipelines', 'big data', 'cd', 'computer science', 'ci', 'computer vision']",senior software engineer data pipeline senior level data warehousing data pipelines big data cd computer science ci computer vision
Opera,senior data scientist,Full Time,Senior-level,"['agile', 'data analysis', 'big data', 'bigquery', 'computer science', 'airflow']","['agile', 'data analysis', 'big data', 'bigquery', 'computer science', 'airflow']","senior data scientist Senior-level ['agile', 'data analysis', 'big data', 'bigquery', 'computer science', 'airflow']",senior data scientist senior level agile data analysis big data bigquery computer science airflow
Bosch Group,data science lead (hybrid),Full Time,No Experience,"['b testing', 'power bi', 'mathematics', 'data visualization', 'a', 'engineering', 'economics']","['b testing', 'power bi', 'mathematics', 'data visualization', 'a', 'engineering', 'economics']","data science lead (hybrid) No Experience ['b testing', 'power bi', 'mathematics', 'data visualization', 'a', 'engineering', 'economics']",data science lead hybrid no experience b testing power bi mathematics data visualization a engineering economics
Tiendanube,business intelligence analyst,Full Time,Senior-level,"['tableau', 'ecommerce', 'sql', 'python', 'business intelligence']","['tableau', 'ecommerce', 'sql', 'python', 'business intelligence']","business intelligence analyst Senior-level ['tableau', 'ecommerce', 'sql', 'python', 'business intelligence']",business intelligence analyst senior level tableau ecommerce sql python business intelligence
Ask Media Group,lead business intelligence analyst,Full Time,Senior-level,"['b testing', 'kpis', 'data visualization', 'looker', 'a', 'business intelligence', 'mathematics']","['b testing', 'kpis', 'data visualization', 'looker', 'a', 'business intelligence', 'mathematics']","lead business intelligence analyst Senior-level ['b testing', 'kpis', 'data visualization', 'looker', 'a', 'business intelligence', 'mathematics']",lead business intelligence analyst senior level b testing kpis data visualization looker a business intelligence mathematics
Angi,senior data scientist,Full Time,Senior-level,"['big data', 'data mining', 'machine learning', 'ml models', 'phd', 'mathematics']","['big data', 'data mining', 'machine learning', 'ml models', 'phd', 'mathematics']","senior data scientist Senior-level ['big data', 'data mining', 'machine learning', 'ml models', 'phd', 'mathematics']",senior data scientist senior level big data data mining machine learning ml models phd mathematics
Visa,sr data engineer,Full Time,Senior-level,"['agile', 'big data', 'data mining', 'data visualization', 'business intelligence', 'engineering']","['agile', 'big data', 'data mining', 'data visualization', 'business intelligence', 'engineering']","sr data engineer Senior-level ['agile', 'big data', 'data mining', 'data visualization', 'business intelligence', 'engineering']",sr data engineer senior level agile big data data mining data visualization business intelligence engineering
AVIV Group,data modeler,Full Time,Senior-level,"['data governance', 'kpis', 'data management', 'architecture', 'privacy', 'engineering']","['data governance', 'kpis', 'data management', 'architecture', 'privacy', 'engineering']","data modeler Senior-level ['data governance', 'kpis', 'data management', 'architecture', 'privacy', 'engineering']",data modeler senior level data governance kpis data management architecture privacy engineering
Mutt Data,data engineer,Full Time,Mid-level,"['architecture', 'big data', 'bigquery', 'cd', 'aws', 'ci', 'airflow']","['architecture', 'big data', 'bigquery', 'cd', 'aws', 'ci', 'airflow']","data engineer Mid-level ['architecture', 'big data', 'bigquery', 'cd', 'aws', 'ci', 'airflow']",data engineer mid level architecture big data bigquery cd aws ci airflow
Global Atlantic Financial Group,"vp, actuarial modeling and data management",Full Time,Senior-level,"['data management', 'finance', 'excel', 'ml models', 'privacy', 'mathematics']","['data management', 'finance', 'excel', 'ml models', 'privacy', 'mathematics']","vp, actuarial modeling and data management Senior-level ['data management', 'finance', 'excel', 'ml models', 'privacy', 'mathematics']",vp actuarial modeling and data management senior level data management finance excel ml models privacy mathematics
REWE International Dienstleistungsgesellschaft m.b.H,junior data science engineer (m/w/x),Full Time,Entry-level,"['data pipelines', 'deep learning', 'oracle', 'cd', 'computer science', 'ci', 'pipelines']","['data pipelines', 'deep learning', 'oracle', 'cd', 'computer science', 'ci', 'pipelines']","junior data science engineer (m/w/x) Entry-level ['data pipelines', 'deep learning', 'oracle', 'cd', 'computer science', 'ci', 'pipelines']",junior data science engineer m w x entry level data pipelines deep learning oracle cd computer science ci pipelines
Imagen Technologies,healthcare data analyst,Full Time,Mid-level,"['genetics', 'python', 'git', 'business intelligence', 'pandas', 'engineering']","['genetics', 'python', 'git', 'business intelligence', 'pandas', 'engineering']","healthcare data analyst Mid-level ['genetics', 'python', 'git', 'business intelligence', 'pandas', 'engineering']",healthcare data analyst mid level genetics python git business intelligence pandas engineering
Sunnova Energy International,data scientist,Full Time,Senior-level,"['agile', 'apis', 'architecture', 'big data', 'aws', 'classification']","['agile', 'apis', 'architecture', 'big data', 'aws', 'classification']","data scientist Senior-level ['agile', 'apis', 'architecture', 'big data', 'aws', 'classification']",data scientist senior level agile apis architecture big data aws classification
DeepL,"data analyst marketing or sales (f/m/d) - ger, uk, nl, pl",Full Time,Senior-level,"['agile', 'kpis', 'data analysis', 'data visualization', 'mathematics', 'economics']","['agile', 'kpis', 'data analysis', 'data visualization', 'mathematics', 'economics']","data analyst marketing or sales (f/m/d) - ger, uk, nl, pl Senior-level ['agile', 'kpis', 'data analysis', 'data visualization', 'mathematics', 'economics']",data analyst marketing or sales f m d ger uk nl pl senior level agile kpis data analysis data visualization mathematics economics
EUROPEAN DYNAMICS,business intelligence expert,Full Time,Mid-level,"['data analytics', 'data analysis', 'privacy', 'phd', 'python', 'business intelligence']","['data analytics', 'data analysis', 'privacy', 'phd', 'python', 'business intelligence']","business intelligence expert Mid-level ['data analytics', 'data analysis', 'privacy', 'phd', 'python', 'business intelligence']",business intelligence expert mid level data analytics data analysis privacy phd python business intelligence
Gemini,data engineer,Full Time,Senior-level,"['banking', 'architecture', 'big data', 'bigquery', 'aws', 'airflow']","['banking', 'architecture', 'big data', 'bigquery', 'aws', 'airflow']","data engineer Senior-level ['banking', 'architecture', 'big data', 'bigquery', 'aws', 'airflow']",data engineer senior level banking architecture big data bigquery aws airflow
OpenSea,senior data analyst,Full Time,Senior-level,"['data governance', 'data management', 'data analysis', 'computer science', 'data quality', 'blockchain']","['data governance', 'data management', 'data analysis', 'computer science', 'data quality', 'blockchain']","senior data analyst Senior-level ['data governance', 'data management', 'data analysis', 'computer science', 'data quality', 'blockchain']",senior data analyst senior level data governance data management data analysis computer science data quality blockchain
Weave HQ,principle mlops engineer,Full Time,Senior-level,"['bigtable', 'data analysis', 'aws', 'distributed systems', 'devops', 'engineering']","['bigtable', 'data analysis', 'aws', 'distributed systems', 'devops', 'engineering']","principle mlops engineer Senior-level ['bigtable', 'data analysis', 'aws', 'distributed systems', 'devops', 'engineering']",principle mlops engineer senior level bigtable data analysis aws distributed systems devops engineering
Monzo,senior data scientist,Full Time,Senior-level,"['b testing', 'banking', 'finance', 'data mining', 'looker', 'a', 'python']","['b testing', 'banking', 'finance', 'data mining', 'looker', 'a', 'python']","senior data scientist Senior-level ['b testing', 'banking', 'finance', 'data mining', 'looker', 'a', 'python']",senior data scientist senior level b testing banking finance data mining looker a python
Scale AI,"machine learning research engineer, generative ai",Full Time,Senior-level,"['generative modeling', 'deep learning', 'llms', 'gcp', 'aws', 'machine learning']","['generative modeling', 'deep learning', 'llms', 'gcp', 'aws', 'machine learning']","machine learning research engineer, generative ai Senior-level ['generative modeling', 'deep learning', 'llms', 'gcp', 'aws', 'machine learning']",machine learning research engineer generative ai senior level generative modeling deep learning llms gcp aws machine learning
Channel Factory,data analyst - product innovation,Full Time,Mid-level,"['data pipelines', 'apis', 'data analysis', 'computer science', 'aws', 'excel']","['data pipelines', 'apis', 'data analysis', 'computer science', 'aws', 'excel']","data analyst - product innovation Mid-level ['data pipelines', 'apis', 'data analysis', 'computer science', 'aws', 'excel']",data analyst product innovation mid level data pipelines apis data analysis computer science aws excel
Confused.com,lead data scientist,Full Time,Mid-level,"['data management', 'big data', 'aws', 'computer science', 'azure', 'business intelligence']","['data management', 'big data', 'aws', 'computer science', 'azure', 'business intelligence']","lead data scientist Mid-level ['data management', 'big data', 'aws', 'computer science', 'azure', 'business intelligence']",lead data scientist mid level data management big data aws computer science azure business intelligence
Riverflex,data product owner,Full Time,Senior-level,"['research', 'testing', 'computer science', 'market research', 'dataops', 'engineering']","['research', 'testing', 'computer science', 'market research', 'dataops', 'engineering']","data product owner Senior-level ['research', 'testing', 'computer science', 'market research', 'dataops', 'engineering']",data product owner senior level research testing computer science market research dataops engineering
Bosch Group,bi analyst jr - 24170,Full Time,Entry-level,"['data governance', 'data analysis', 'computer science', 'data visualization', 'data quality', 'business intelligence']","['data governance', 'data analysis', 'computer science', 'data visualization', 'data quality', 'business intelligence']","bi analyst jr - 24170 Entry-level ['data governance', 'data analysis', 'computer science', 'data visualization', 'data quality', 'business intelligence']",bi analyst jr 24170 entry level data governance data analysis computer science data visualization data quality business intelligence
Bionic Services Ltd,html developer,Full Time,Mid-level,"['agile', 'javascript', 'testing', 'finance']","['agile', 'javascript', 'testing', 'finance']","html developer Mid-level ['agile', 'javascript', 'testing', 'finance']",html developer mid level agile javascript testing finance
Nielsen,business intelligence developer,Full Time,Senior-level,"['agile', 'data management', 'apis', 'architecture', 'computer science', 'business intelligence']","['agile', 'data management', 'apis', 'architecture', 'computer science', 'business intelligence']","business intelligence developer Senior-level ['agile', 'data management', 'apis', 'architecture', 'computer science', 'business intelligence']",business intelligence developer senior level agile data management apis architecture computer science business intelligence
Etsy,"data scientist, marketing analytics",Full Time,Senior-level,"['data governance', 'finance', 'big data', 'hadoop', 'data visualization', 'engineering']","['data governance', 'finance', 'big data', 'hadoop', 'data visualization', 'engineering']","data scientist, marketing analytics Senior-level ['data governance', 'finance', 'big data', 'hadoop', 'data visualization', 'engineering']",data scientist marketing analytics senior level data governance finance big data hadoop data visualization engineering
Ocorian,senior manager - aml/cft & data analyst,Full Time,Senior-level,"['agile', 'excel', 'data management', 'data quality']","['agile', 'excel', 'data management', 'data quality']","senior manager - aml/cft & data analyst Senior-level ['agile', 'excel', 'data management', 'data quality']",senior manager aml cft data analyst senior level agile excel data management data quality
PatientPoint,senior data visualization analyst,Full Time,Senior-level,"['agile', 'mathematics', 'computer science', 'javascript', 'data visualization', 'engineering']","['agile', 'mathematics', 'computer science', 'javascript', 'data visualization', 'engineering']","senior data visualization analyst Senior-level ['agile', 'mathematics', 'computer science', 'javascript', 'data visualization', 'engineering']",senior data visualization analyst senior level agile mathematics computer science javascript data visualization engineering
Fleetio,senior data engineer (remote),Full Time,Mid-level,"['data pipelines', 'dagster', 'bigquery', 'cd', 'aws', 'ci', 'business intelligence']","['data pipelines', 'dagster', 'bigquery', 'cd', 'aws', 'ci', 'business intelligence']","senior data engineer (remote) Mid-level ['data pipelines', 'dagster', 'bigquery', 'cd', 'aws', 'ci', 'business intelligence']",senior data engineer remote mid level data pipelines dagster bigquery cd aws ci business intelligence
Databricks,customer data engineer,Full Time,Senior-level,"['data warehousing', 'data analytics', 'databricks', 'aws', 'azure', 'consulting']","['data warehousing', 'data analytics', 'databricks', 'aws', 'azure', 'consulting']","customer data engineer Senior-level ['data warehousing', 'data analytics', 'databricks', 'aws', 'azure', 'consulting']",customer data engineer senior level data warehousing data analytics databricks aws azure consulting
Twitch,data engineer- data platform,Full Time,Senior-level,"['data pipelines', 'architecture', 'big data', 'aws', 'data quality', 'business intelligence']","['data pipelines', 'architecture', 'big data', 'aws', 'data quality', 'business intelligence']","data engineer- data platform Senior-level ['data pipelines', 'architecture', 'big data', 'aws', 'data quality', 'business intelligence']",data engineer data platform senior level data pipelines architecture big data aws data quality business intelligence
Roosh,digital marketing lead (zibraai),Full Time,Mid-level,"['machine learning', 'physics']","['machine learning', 'physics']","digital marketing lead (zibraai) Mid-level ['machine learning', 'physics']",digital marketing lead zibraai mid level machine learning physics
Instacart,staff data scientist - marketing,Full Time,Senior-level,"['causal inference', 'data mining', 'computer science', 'machine learning', 'mathematics', 'economics']","['causal inference', 'data mining', 'computer science', 'machine learning', 'mathematics', 'economics']","staff data scientist - marketing Senior-level ['causal inference', 'data mining', 'computer science', 'machine learning', 'mathematics', 'economics']",staff data scientist marketing senior level causal inference data mining computer science machine learning mathematics economics
Snowflake Inc.,senior sales business intelligence manager,Full Time,Senior-level,"['banking', 'consulting', 'excel', 'business intelligence', 'engineering', 'economics']","['banking', 'consulting', 'excel', 'business intelligence', 'engineering', 'economics']","senior sales business intelligence manager Senior-level ['banking', 'consulting', 'excel', 'business intelligence', 'engineering', 'economics']",senior sales business intelligence manager senior level banking consulting excel business intelligence engineering economics
SSENSE,"data analyst, customer experience",Full Time,No Experience,"['ecommerce', 'cx', 'computer science', 'data visualization', 'business intelligence', 'engineering']","['ecommerce', 'cx', 'computer science', 'data visualization', 'business intelligence', 'engineering']","data analyst, customer experience No Experience ['ecommerce', 'cx', 'computer science', 'data visualization', 'business intelligence', 'engineering']",data analyst customer experience no experience ecommerce cx computer science data visualization business intelligence engineering
Amazon.com,machine learning engineer,Full Time,Senior-level,"['data pipelines', 'architecture', 'big data', 'data mining', 'aws', 'classification']","['data pipelines', 'architecture', 'big data', 'data mining', 'aws', 'classification']","machine learning engineer Senior-level ['data pipelines', 'architecture', 'big data', 'data mining', 'aws', 'classification']",machine learning engineer senior level data pipelines architecture big data data mining aws classification
Bosch Group,etas test lead - autonomous driving solutions,Full Time,Senior-level,"['agile', 'autonomous driving', 'testing', 'linux', 'python', 'docker']","['agile', 'autonomous driving', 'testing', 'linux', 'python', 'docker']","etas test lead - autonomous driving solutions Senior-level ['agile', 'autonomous driving', 'testing', 'linux', 'python', 'docker']",etas test lead autonomous driving solutions senior level agile autonomous driving testing linux python docker
NBCUniversal,sr data engineer,Full Time,Senior-level,"['agile', 'architecture', 'data analytics', 'big data', 'computer science', 'airflow']","['agile', 'architecture', 'data analytics', 'big data', 'computer science', 'airflow']","sr data engineer Senior-level ['agile', 'architecture', 'data analytics', 'big data', 'computer science', 'airflow']",sr data engineer senior level agile architecture data analytics big data computer science airflow
Databricks,specialist solutions architect - mlops,Full Time,Senior-level,"['deep learning', 'architecture', 'databricks', 'big data', 'computer science', 'engineering']","['deep learning', 'architecture', 'databricks', 'big data', 'computer science', 'engineering']","specialist solutions architect - mlops Senior-level ['deep learning', 'architecture', 'databricks', 'big data', 'computer science', 'engineering']",specialist solutions architect mlops senior level deep learning architecture databricks big data computer science engineering
Stripe,"data scientist, terminal",Full Time,Senior-level,"['causal inference', 'finance', 'machine learning', 'phd', 'engineering', 'economics']","['causal inference', 'finance', 'machine learning', 'phd', 'engineering', 'economics']","data scientist, terminal Senior-level ['causal inference', 'finance', 'machine learning', 'phd', 'engineering', 'economics']",data scientist terminal senior level causal inference finance machine learning phd engineering economics
Metiora,data analyst intern,Full Time,Entry-level,"['power bi', 'mongodb', 'matplotlib', 'python', 'numpy', 'pandas']","['power bi', 'mongodb', 'matplotlib', 'python', 'numpy', 'pandas']","data analyst intern Entry-level ['power bi', 'mongodb', 'matplotlib', 'python', 'numpy', 'pandas']",data analyst intern entry level power bi mongodb matplotlib python numpy pandas
Kuda Technologies Ltd,react native engineer - mobile (dubai),Full Time,Mid-level,"['github', 'finance', 'apis', 'jira', 'react', 'javascript']","['github', 'finance', 'apis', 'jira', 'react', 'javascript']","react native engineer - mobile (dubai) Mid-level ['github', 'finance', 'apis', 'jira', 'react', 'javascript']",react native engineer mobile dubai mid level github finance apis jira react javascript
KPMG Australia,artificial intelligence lead kpmg futures,Full Time,Executive-level,"['research', 'testing', 'finance']","['research', 'testing', 'finance']","artificial intelligence lead kpmg futures Executive-level ['research', 'testing', 'finance']",artificial intelligence lead kpmg futures executive level research testing finance
