company,job_title,job_type,experience_level,skills
Bosch Group,bi analyst jr - 24170,Full Time,Entry-level,"['data governance', 'data analysis', 'computer science', 'data visualization', 'data quality', 'business intelligence']"
Bionic Services Ltd,html developer,Full Time,Mid-level,"['agile', 'javascript', 'testing', 'finance']"
Nielsen,business intelligence developer,Full Time,Senior-level,"['agile', 'data management', 'apis', 'architecture', 'computer science', 'business intelligence']"
Etsy,"data scientist, marketing analytics",Full Time,Senior-level,"['data governance', 'finance', 'big data', 'hadoop', 'data visualization', 'engineering']"
Ocorian,senior manager - aml/cft & data analyst,Full Time,Senior-level,"['agile', 'excel', 'data management', 'data quality']"
PatientPoint,senior data visualization analyst,Full Time,Senior-level,"['agile', 'mathematics', 'computer science', 'javascript', 'data visualization', 'engineering']"
Fleetio,senior data engineer (remote),Full Time,Mid-level,"['data pipelines', 'dagster', 'bigquery', 'cd', 'aws', 'ci', 'business intelligence']"
Databricks,customer data engineer,Full Time,Senior-level,"['data warehousing', 'data analytics', 'databricks', 'aws', 'azure', 'consulting']"
Twitch,data engineer- data platform,Full Time,Senior-level,"['data pipelines', 'architecture', 'big data', 'aws', 'data quality', 'business intelligence']"
Roosh,digital marketing lead (zibraai),Full Time,Mid-level,"['machine learning', 'physics']"
Instacart,staff data scientist - marketing,Full Time,Senior-level,"['causal inference', 'data mining', 'computer science', 'machine learning', 'mathematics', 'economics']"
Snowflake Inc.,senior sales business intelligence manager,Full Time,Senior-level,"['banking', 'consulting', 'excel', 'business intelligence', 'engineering', 'economics']"
SSENSE,"data analyst, customer experience",Full Time,No Experience,"['ecommerce', 'cx', 'computer science', 'data visualization', 'business intelligence', 'engineering']"
Amazon.com,machine learning engineer,Full Time,Senior-level,"['data pipelines', 'architecture', 'big data', 'data mining', 'aws', 'classification']"
Bosch Group,etas test lead - autonomous driving solutions,Full Time,Senior-level,"['agile', 'autonomous driving', 'testing', 'linux', 'python', 'docker']"
NBCUniversal,sr data engineer,Full Time,Senior-level,"['agile', 'architecture', 'data analytics', 'big data', 'computer science', 'airflow']"
Databricks,specialist solutions architect - mlops,Full Time,Senior-level,"['deep learning', 'architecture', 'databricks', 'big data', 'computer science', 'engineering']"
Stripe,"data scientist, terminal",Full Time,Senior-level,"['causal inference', 'finance', 'machine learning', 'phd', 'engineering', 'economics']"
Metiora,data analyst intern,Full Time,Entry-level,"['power bi', 'mongodb', 'matplotlib', 'python', 'numpy', 'pandas']"
Kuda Technologies Ltd,react native engineer - mobile (dubai),Full Time,Mid-level,"['github', 'finance', 'apis', 'jira', 'react', 'javascript']"
KPMG Australia,artificial intelligence lead kpmg futures,Full Time,Executive-level,"['research', 'testing', 'finance']"
DoubleVerify,jr crm data quality specialist,Full Time,Entry-level,"['data governance', 'finance', 'research', 'data quality']"
Pure Integration,senior data analyst,Full Time,Senior-level,"['data analysis', 'computer science', 'data quality', 'engineering', 'consulting firm', 'consulting']"
SAP Fioneer,data management consultant banking (f/d/m) financial services data platform fsdm,Full Time,Mid-level,"['mysql', 'data management', 'banking', 'sql']"
Appen,"director, artificial intelligence (ai)",Full Time,Executive-level,"['finance', 'gans', 'gcp', 'aws', 'computer science', 'azure']"
Cyberlogic,intermediate bi developer,Full Time,Mid-level,"['data governance', 'architecture', 'databricks', 'computer science', 'azure', 'business intelligence']"
Experian,senior business intelligence analyst,Full Time,Senior-level,"['data analytics', 'athena', 'aws', 'computer science', 'data quality', 'business intelligence']"
Publicis Groupe,data analyst,Full Time,Senior-level,"['ecommerce', 'data analytics', 'databricks', 'big data', 'computer science', 'economics']"
Peloton,staff machine learning engineer,Full Time,Senior-level,"['b testing', 'cassandra', 'aws', 'computer science', 'a', 'computer vision', 'airflow']"
Fleetio,data analyst (remote),Full Time,Mid-level,"['data warehousing', 'dagster', 'databricks', 'bigquery', 'business intelligence', 'elt']"
Civis Analytics,lead applied data scientist (experience with media mix modeling),Full Time,Senior-level,"['causal inference', 'computer science', 'data visualization', 'engineering', 'consulting', 'economics']"
NBCUniversal,data engineer i,Full Time,Senior-level,"['data pipelines', 'big data', 'aws', 'computer science', 'devops', 'engineering']"
Experian,cloud database analyst,Full Time,Senior-level,"['snowflake', 'gcp', 'big data', 'sql', 'aws', 'computer science']"
Freeform,senior machine learning engineer,Full Time,Senior-level,"['deep learning', 'cassandra', 'architecture', 'big data', 'data mining', 'computer science']"
Foxintelligence,junior data analyst,Full Time,Mid-level,"['power bi', 'r', 'data management', 'python', 'classification', 'consulting']"
Visa,financial data analyst,Full Time,Senior-level,"['power bi', 'finance', 'data analytics', 'excel', 'data visualization', 'phd']"
Publicis Groupe,data engineer,Full Time,No Experience,"['etl', 'data pipelines', 'apis', 'computer science', 'azure', 'engineering']"
GRAIL,staff clinical data manager 3073,Full Time,Senior-level,"['biology', 'data management', 'gcp', 'computer science', 'data visualization', 'data quality']"
Motorway,hr data analyst,Full Time,No Experience,"['research', 'data analysis']"
Sia Partners,consultant in data science,Full Time,Entry-level,"['finance', 'big data', 'econometrics', 'machine learning', 'consulting firm', 'consulting']"
Curated,machine learning engineer,Full Time,Senior-level,"['bert', 'deep learning', 'chatbots', 'aws', 'azure', 'classification']"
Shopify,"staff engineer, data platform",Full Time,Senior-level,"['azure', 'bigquery', 'aws', 'computer science', 'dataflow', 'dataproc']"
Chainalysis,data engineer,Full Time,Senior-level,"['agile', 'banking', 'apis', 'architecture', 'blockchain', 'airflow']"
Verisk,data engineer,Full Time,Senior-level,"['nosql', 'data pipelines', 'apis', 'architecture', 'javascript', 'engineering']"
Etsy,"senior data scientist, marketing analytics",Full Time,Senior-level,"['data governance', 'finance', 'big data', 'bigquery', 'data visualization', 'engineering']"
TTEC Digital,"director, iva and ai solutions - professional services practice lead",Full Time,Executive-level,"['apis', 'architecture', 'aws', 'angular', 'asr', 'azure']"
Tide,lead data analyst(marketing/growth analytics),Full Time,Senior-level,"['b testing', 'kpis', 'banking', 'fintech', 'looker', 'a', 'engineering']"
Lucid Motors,"data analyst, service analytics",Full Time,Senior-level,"['etl', 'business analytics', 'apis', 'jira', 'git', 'engineering']"
Amazon.com,"amazon robotics - hardware engineer co-op (july-december 2023), amazon robotics",Full Time,Entry-level,"['agile', 'prototyping', 'cx', 'machine learning', 'computer vision', 'engineering']"
Kpler,senior/staff data engineer,Full Time,Senior-level,"['ansible', 'data pipelines', 'elasticsearch', 'aws', 'devops', 'engineering']"
Devbridge,data engineer,Full Time,Mid-level,"['data pipelines', 'apis', 'data analytics', 'aws', 'azure', 'airflow']"
Similarweb,data product manager,Full Time,No Experience,"['architecture', 'big data', 'machine learning', 'privacy', 'python', 'engineering']"
Deloitte,fsa (fintech) - quantitative machine learning specialist & software developer,Full Time,Senior-level,"['banking', 'architecture', 'credit risk', 'computer science', 'consulting', 'docker']"
Publicis Groupe,data engineer analyst,Full Time,Entry-level,"['etl', 'apis', 'gcp', 'hadoop', 'javascript', 'google cloud']"
Freeform,software engineer (data pipeline),Full Time,Senior-level,"['data warehousing', 'data pipelines', 'big data', 'cd', 'computer science', 'ci', 'computer vision']"
GumGum,senior data scientist,Full Time,Senior-level,"['gcp', 'computer science', 'machine learning', 'data quality', 'feature engineering', 'engineering']"
KoBold Metals,associate data scientist,Full Time,Mid-level,"['github', 'eda', 'data analysis', 'computer science', 'git', 'engineering']"
Publicis Groupe,data engineering analyst,Full Time,Entry-level,"['etl', 'data warehousing', 'data management', 'aws', 'azure', 'engineering']"
Talan,talan consulting consultant senior/manager data strategy (h/f),Full Time,Senior-level,"['data governance', 'data management', 'data strategy', 'architecture', 'machine learning', 'consulting']"
6point6,enterprise data architect - 6 month contract,Full Time,Senior-level,"['json', 'apis', 'security', 'architecture', 'sql', 'model design']"
Branching Minds,data engineer ii,Full Time,Mid-level,"['postgresql', 'agile', 'airtable', 'databricks', 'aws', 'engineering']"
Appen,data scientist/machine learning engineer,Full Time,Senior-level,"['data management', 'deep learning', 'aws', 'computer science', 'data visualization', 'azure']"
Anvl,data engineer,Full Time,Mid-level,"['elasticsearch', 'data analytics', 'architecture', 'dynamodb', 'data warehouse', 'aws']"
Pure Integration,data analyst,Full Time,Senior-level,"['data analysis', 'computer science', 'data quality', 'engineering', 'consulting firm', 'consulting']"
Podium,"senior data scientist, product",Full Time,Senior-level,"['business analytics', 'data analytics', 'data analysis', 'data mining', 'classification', 'bayesian']"
SentinelOne,"senior technical support engineer, dataset",Full Time,Senior-level,"['kubernetes', 'aws', 'ec2', 'devops', 'engineering', 'docker']"
Amazon.com,"finance business intelligence , operations finance",Full Time,No Experience,"['big data', 'data mining', 'aws', 'data visualization', 'data quality', 'business intelligence']"
Block,"staff machine learning modeler, financial crimes",Full Time,Senior-level,"['airflow', 'banking', 'aws', 'computer science', 'classification', 'blockchain']"
ServiceNow,machine learning engineer,Full Time,Senior-level,"['research', 'testing', 'oop', 'machine learning', 'python']"
Techstars,senior business intelligence analyst,Full Time,Senior-level,"['data governance', 'data pipelines', 'clustering', 'data analytics', 'data analysis', 'business intelligence']"
Riskified,data scientist,Full Time,No Experience,"['clustering', 'big data', 'databricks', 'computer science', 'classification', 'airflow']"
Spotify,data engineer - music,Full Time,Senior-level,"['agile', 'architecture', 'big data', 'bigquery', 'aws', 'computer science']"
Syngenta Group,data manager,Full Time,No Experience,"['biology', 'data management', 'data analytics', 'data analysis', 'data quality', 'consulting']"
Mutt Data,machine learning engineer,Full Time,Mid-level,"['architecture', 'big data', 'cd', 'databricks', 'aws', 'ci', 'airflow']"
PSI CRO,salesforce administrator/data specialist,Full Time,No Experience,"['power bi', 'data governance', 'computer science', 'research']"
SpaceX,data engineer (starlink),Full Time,Senior-level,"['etl', 'clustering', 'data analytics', 'data analysis', 'computer science', 'engineering']"
Sunnova Energy International,data engineer,Full Time,Senior-level,"['agile', 'apis', 'architecture', 'cd', 'aws', 'azure', 'ci']"
Talan,data engineer confirm bi - big data,Full Time,Senior-level,"['etl', 'agile', 'big data', 'hadoop', 'angular', 'blockchain']"
Databricks,"director, spark technical solutions",Full Time,Executive-level,"['elasticsearch', 'databricks', 'big data', 'aws', 'computer science', 'azure']"
Payplug,data engineer,Full Time,Entry-level,"['architecture', 'bigquery', 'cd', 'gcp', 'ci', 'engineering', 'docker']"
Sigma Software,middle data engineer (healthcare domain),Full Time,Mid-level,"['architecture', 'data analysis', 'bigquery', 'big data', 'databricks', 'azure']"
METRO/MAKRO,senior data analyst (pricing),Full Time,Senior-level,"['etl', 'data pipelines', 'bigquery', 'data visualization', 'elt', 'engineering']"
Fannie Mae,people analytics data visualization senior associate (open to remote),Full Time,Mid-level,"['architecture', 'aws', 'data visualization', 'classification', 'business intelligence', 'consulting']"
Alter Solutions,dveloppeur power bi - h/f,Full Time,Senior-level,"['agile', 'power bi', 'kpis', 'architecture', 'privacy', 'r']"
Veeva Systems,data engineer,Full Time,Senior-level,"['business analytics', 'data pipelines', 'databricks', 'aws', 'dataops', 'airflow']"
Curated,product manager - experts & artificial intelligence,Full Time,Senior-level,"['research', 'llms', 'ecommerce', 'computer science', 'machine learning', 'nlp']"
Bosch Group,group manager data analytics india,Full Time,Senior-level,"['industrial', 'data analytics']"
Statkraft,data analyst,Full Time,Entry-level,"['github', 'apis', 'data analysis', 'big data', 'grafana', 'data quality']"
Lendi Group,senior data engineer,Full Time,Senior-level,"['agile', 'data governance', 'architecture', 'aws', 'azure', 'airflow']"
Publicis Groupe,"vice president director, data scientist",Full Time,Executive-level,"['business analytics', 'big data', 'hadoop', 'aws', 'machine learning', 'mathematics']"
Amazon.com,"business intelligence analyst, aws cloud logistics",Full Time,No Experience,"['data management', 'data analytics', 'cx', 'aws', 'data visualization', 'business intelligence']"
Altos Labs,"scientist/senior scientist, machine learning",Full Time,Senior-level,"['deep learning', 'diffusion models', 'genetics', 'data analysis', 'computer science', 'drug discovery']"
"ThousandEyes, Inc.","principal site reliability engineer, datastores (hybrid)",Full Time,Senior-level,"['kafka', 'kubernetes', 'elasticsearch', 'architecture', 'aws', 'engineering']"
Bosch Group,data scientist,Full Time,Entry-level,"['big data', 'cx', 'computer science', 'industrial', 'cybernetics', 'engineering']"
Block,machine learning manager (systems),Full Time,No Experience,"['airflow', 'banking', 'data analysis', 'aws', 'crypto', 'blockchain']"
Sia Partners,consultant data engineer,Full Time,Entry-level,"['apis', 'architecture', 'big data', 'cd', 'aws', 'azure', 'ci']"
NobleAI,machine learning engineer l3,Full Time,Mid-level,"['kpis', 'research', 'security', 'computer science', 'machine learning', 'ml models']"
Adevinta,data analyst cochesnet,Full Time,Senior-level,"['clustering', 'data analysis', 'big data', 'databricks', 'classification', 'airflow']"
LivePerson,"senior product marketing manager, conversational intelligence & ai products",Full Time,Senior-level,"['research', 'excel', 'market research', 'engineering']"
YouGov,graduate data analyst,Full Time,Entry-level,"['research', 'data analysis', 'excel', 'market research', 'privacy', 'statistics']"
Lambda,analytics engineer,Full Time,Senior-level,"['business analytics', 'apis', 'architecture', 'bigquery', 'aws', 'computer science']"
Databricks,specialist solutions architect - data engineering (public sector),Full Time,Senior-level,"['apis', 'architecture', 'big data', 'cd', 'aws', 'azure', 'ci']"
Fullscript,senior machine learning engineer,Full Time,Senior-level,"['llms', 'bigquery', 'data mining', 'gpt', 'engineering', 'ai strategy']"
Zeta,data scientist,Full Time,Entry-level,"['banking', 'chatbots', 'data analysis', 'machine learning', 'fintech', 'engineering']"
Tempus,senior data quality assurance specialist,Full Time,Senior-level,"['biology', 'genetics', 'computer science', 'data visualization', 'data quality', 'engineering']"
"ThousandEyes, Inc.","senior site reliability engineer, datastores (hybrid)",Full Time,Senior-level,"['kafka', 'kubernetes', 'elasticsearch', 'dynamodb', 'aws', 'linux']"
Arize AI,"customer success junior ml engineer, onboarding specialist",Full Time,Entry-level,"['deep learning', 'apis', 'aws', 'azure', 'drones', 'consulting']"
Twenty First Group,senior data science engineer,Full Time,Mid-level,"['aws', 'machine learning', 'bayesian', 'git', 'engineering', 'docker']"
Netcentric,digital analytics engineer,Full Time,Senior-level,"['power bi', 'gcp', 'google cloud', 'looker', 'privacy', 'consulting']"
Faraday Future,senior big data engineer,Full Time,Senior-level,"['data analysis', 'big data', 'aws', 'computer science', 'azure', 'airflow']"
Twilio,"senior data scientist, marketing",Full Time,Senior-level,"['data pipelines', 'data analytics', 'aws', 'looker', 'airflow', 'engineering']"
Wallbox,analytics engineer intern,Internship,Entry-level,"['databricks', 'bigquery', 'cd', 'data warehouse', 'data quality', 'ci', 'airflow']"
Current,master data team manager,Full Time,Executive-level,"['industrial', 'data quality']"
Block,"senior data engineer, enterprise engineering",Full Time,Senior-level,"['airflow', 'banking', 'cx', 'aws', 'crypto', 'blockchain']"
Foursquare,data operations associate,Full Time,Entry-level,"['architecture', 'aws', 'privacy', 'python', 'dataops', 'engineering']"
Fetch,data analyst,Full Time,Senior-level,"['bitbucket', 'data analytics', 'big data', 'aws', 'excel', 'airflow']"
Extreme Networks,staff ml engineer (8627),Full Time,Senior-level,"['big data', 'computer science', 'bayesian', 'git', 'engineering', 'docker']"
Databricks,specialist architect big data,Full Time,Senior-level,"['architecture', 'data analytics', 'big data', 'aws', 'azure', 'consulting']"
Bosch Group,research engineer in multi agent path finding for mobile robots (f/m/div),Full Time,Entry-level,"['agile', 'deep learning', 'computer science', 'industrial', 'machine learning', 'linux']"
Databricks,"product marketing manager, data engineering",Full Time,Senior-level,"['etl', 'mlflow', 'databricks', 'computer science', 'excel', 'engineering']"
Sia Partners,machine learning engineer,Full Time,Entry-level,"['big data', 'aws', 'computer science', 'azure', 'computer vision', 'consulting']"
Meshcapade,cv/ml engineer for 3d virtual humans - remote europe,Full Time,Senior-level,"['deep learning', 'computer science', 'machine learning', 'ml models', 'computer vision', 'engineering']"
Srijan Technologies,senior data engineer - data bricks,Full Time,Senior-level,"['agile', 'data management', 'data pipelines', 'apis', 'databricks', 'azure']"
Uniphore,director ai science,Full Time,Executive-level,"['banking', 'llms', 'data analysis', 'conversational ai', 'computer science', 'industrial']"
Control Risks,researcher- business intelligence,Full Time,Entry-level,"['research', 'excel', 'business intelligence', 'finance']"
"Nuro, Inc.",machine learning research scientist,Full Time,Entry-level,"['data pipelines', 'deep learning', 'icml', 'computer science', 'machine learning', 'iclr']"
Peloton,"staff database reliability engineer, datastores",Full Time,Senior-level,"['engineering', 'architecture', 'dynamodb', 'aws', 'distributed systems', 'consulting']"
TripAdvisor,"senior data scientist - viator, london, oxford, uk remote",Full Time,Senior-level,"['b testing', 'deep learning', 'ecommerce', 'cd', 'ci', 'a', 'computer vision', 'bayesian']"
Moonpig,data engineer,Full Time,Senior-level,"['data pipelines', 'architecture', 'aws', 'fivetran', 'airflow', 'engineering']"
Agoda,"data analyst (bangkok based, relocation provided)",Full Time,Senior-level,"['b testing', 'banking', 'data analysis', 'computer science', 'a', 'business intelligence', 'consulting']"
Raft,associate ai/ml engineer,Full Time,Mid-level,"['github', 'computer science', 'machine learning', 'ml models', 'engineering', 'mathematics']"
Business & Decision,azure data architect,Full Time,Senior-level,"['devops', 'architecture', 'sql', 'machine learning', 'azure', 'business intelligence']"
Tesco Bengaluru,senior applied data scientist,Full Time,Senior-level,"['github', 'finance', 'mathematics', 'sql', 'excel', 'r']"
Publicis Groupe,"senior scientist, decision sciences",Full Time,Senior-level,"['data management', 'data analysis', 'big data', 'computer science', 'engineering', 'economics']"
Umniah,data scientist,Full Time,Entry-level,"['clustering', 'apis', 'architecture', 'data analysis', 'data analytics', 'computer science']"
Deliveroo,data operations & insights manager,Full Time,Mid-level,"['ecommerce', 'data analytics', 'data analysis', 'bigquery', 'dataops', 'engineering']"
Visa,principal ml engineer - ai platform,Full Time,Senior-level,"['agile', 'ai governance', 'deep learning', 'architecture', 'big data', 'engineering']"
Databricks,"principal product marketing manager, ai & machine learning",Full Time,Senior-level,"['llms', 'data analytics', 'databricks', 'computer science', 'excel', 'engineering']"
Locus Robotics,technical support specialist (robotics) - eu - remote,Full Time,Entry-level,"['ecommerce', 'jira', 'computer science', 'robotics', 'engineering']"
Uni Systems,data architect,Full Time,Mid-level,"['data governance', 'data management', 'architecture', 'security', 'computer science']"
Charger Logistics Inc,operations data analyst (tableau),Full Time,Mid-level,"['tableau', 'agile', 'scrum']"
Databricks,head of applied ai/ml,Full Time,Executive-level,"['llms', 'architecture', 'databricks', 'excel', 'industrial', 'engineering']"
Veritone,data analytics engineer,Full Time,Senior-level,"['agile', 'business analytics', 'apis', 'data analytics', 'aws', 'business intelligence']"
Zoox,software engineer - autonomy metrics,Full Time,Senior-level,"['databricks', 'computer science', 'robotics', 'machine learning', 'python', 'scala']"
Vericast,product manager- data visualization & analytics,Full Time,No Experience,"['finance', 'security', 'excel', 'data visualization', 'business intelligence']"
Western Digital,data science in product design engineering,Full Time,Entry-level,"['data analytics', 'data analysis', 'computer science', 'javascript', 'python', 'engineering']"
Onfido,senior director of product - machine learning,Full Time,Senior-level,"['data analysis', 'market research', 'machine learning', 'privacy', 'fintech', 'engineering']"
Agoda,"senior data analyst (bangkok based, relocation provided)",Full Time,Senior-level,"['b testing', 'banking', 'data analysis', 'computer science', 'a', 'business intelligence', 'consulting']"
Sigma Defense,operations planner data management technician,Full Time,Senior-level,"['security', 'excel', 'architecture', 'data management']"
Publicis Groupe,senior associate data engineering,Full Time,Mid-level,"['agile', 'bigtable', 'architecture', 'bigquery', 'aws', 'azure']"
Addepar,data operations client onboarding,Full Time,Senior-level,"['engineering', 'jira', 'rd', 'fintech', 'dataops', 'r']"
"Nuro, Inc.",machine learning research scientist - reinforcement learning,Full Time,Entry-level,"['deep learning', 'icml', 'computer science', 'machine learning', 'iclr', 'mathematics']"
Scale AI,"machine learning engineer, generative ai",Full Time,Senior-level,"['deep learning', 'gcp', 'aws', 'machine learning', 'ml models', 'model training']"
Axiado,machine learning engineer,Full Time,Entry-level,"['research', 'security', 'machine learning', 'ml models', 'python', 'r']"
Bosch Group,data management internship,Internship,Entry-level,"['power bi', 'data management', 'computer science', 'excel', 'industrial', 'engineering']"
Palo Alto Networks,sr big data engineer,Full Time,Senior-level,"['agile', 'architecture', 'big data', 'athena', 'bigquery', 'aws']"
Deloitte,consulting - robotics process automation (rpa) developer,Full Time,Entry-level,"['finance', 'mathematics', 'consulting', 'javascript', 'industrial', 'engineering']"
Exoticca,data engineer,Full Time,Mid-level,"['agile', 'data management', 'data pipelines', 'apis', 'cx', 'aws']"
